source_id,source_name,author,title,description,human_label,text,url,publishedAt,content,category,vader_compound,vader_label,vader_conf,bert_label,bert_conf,vader_score,bert_score
,BBC News,,"ChatGPT's new browser has potential, if you're willing to pay","OpenAI hopes to upend the browser market currently dominated by Google Chrome, but it depends on paid users.",positive,"ChatGPT's new browser has potential, if you're willing to pay — OpenAI hopes to upend the browser market currently dominated by Google Chrome, but it depends on paid users.",https://www.bbc.com/news/articles/c20pdy1exxvo,2025-10-25 23:24:03+00:00,"Imran Rahman-JonesTechnology reporter
OpenAI wants to take on similar browsers such as those from Microsoft, Oracle and Perplexity
A few minutes into using ChatGPT Atlas, the new internet browser f… [+4491 chars]",General,0.1779,positive,0.1779,negative,0.9905586243,1,-1
,BBC News,,Spotify working on AI music tools with major record labels,"The streaming service says it will respect artists' rights in creating new ""responsible"" AI products.",positive,"Spotify working on AI music tools with major record labels — The streaming service says it will respect artists' rights in creating new ""responsible"" AI products.",https://www.bbc.com/news/articles/cn7emv83edjo,2025-10-16 16:26:39+00:00,"Spotify, the world's biggest music streaming service, has announced it is working with major labels on using artificial intelligence (AI) in a ""responsible"" way.
The firm said it wanted to make AI t… [+2354 chars]",General,0.6486,positive,0.6486,positive,0.9873788953,1,1
,BBC News,,I asked AI to plan my dream summer holiday. Here's how it turned out,Holiday-makers say AI-powered chatbots really help organise where to go - but some things need double-checking.,positive,I asked AI to plan my dream summer holiday. Here's how it turned out — Holiday-makers say AI-powered chatbots really help organise where to go - but some things need double-checking.,https://www.bbc.com/news/articles/cp8w6kn2dyzo,2025-10-11 23:06:46+00:00,"Alan Smith with his wife and their daughter's boyfriend on the pier at Castro Urdiales 
The gothic arches of Santa María de la Asunción crown the hill above the stone harbour where fishermen land th… [+5686 chars]",General,0.5182,positive,0.5182,negative,0.9907907248,1,-1
,BBC News,,AI couldn't picture a woman like me - until now,"Paralympic swimmer Jess Smith, says representation means being seen as part of the AI world that's being built.",positive,"AI couldn't picture a woman like me - until now — Paralympic swimmer Jess Smith, says representation means being seen as part of the AI world that's being built.",https://www.bbc.com/news/articles/cj07ley3jnpo,2025-10-14 23:14:57+00:00,"When Jess Smith uploaded a photo of herself into an AI image generator this summer, she wasn't expecting a social experiment.
The former Australian Paralympic swimmer wanted to vamp up her headshot … [+4507 chars]",General,-0.2755,negative,0.2755,positive,0.8981473446,-1,1
,BBC News,,"UK will be second-fastest-growing G7 economy, IMF predicts",The International Monetary Fund (IMF) has upgraded the rate at which the UK economy will grow this year.,neutral,"UK will be second-fastest-growing G7 economy, IMF predicts — The International Monetary Fund (IMF) has upgraded the rate at which the UK economy will grow this year.",https://www.bbc.com/news/articles/cn092p27xn0o,2025-10-14 13:00:40+00:00,"Faisal IslamBBC Economics Editor
Chancellor Rachel Reeves said, despite the IMF's upgrade to UK economic growth, ""for too many people, our economy feels stuck""
The UK is forecast to be the second-f… [+4476 chars]",General,0,neutral,0,positive,0.9690551162,0,1
business-insider,Business Insider,Henry Chandonnet,Databricks CEO says AI talent war has put 'too much pressure' on young people,"Databricks CEO Ali Ghodsi said that young people now ask him how to become a CEO, and whether they were missing out by taking an internship.",negative,"Databricks CEO says AI talent war has put 'too much pressure' on young people — Databricks CEO Ali Ghodsi said that young people now ask him how to become a CEO, and whether they were missing out by taking an internship.",https://www.businessinsider.com/databricks-ceo-ai-boom-pressure-young-people-2025-10,2025-10-10 16:16:28+00:00,"Databricks CEO Ali Ghodsi said that the AI talent war has made for ""crazy times"" for young people.CFOTO/Future Publishing via Getty Images
<ul><li>Ali Ghodsi said that the AI talent wars are putting… [+3096 chars]",Business,-0.6705,negative,0.6705,negative,0.9996157885,-1,-1
business-insider,Business Insider,Thibault Spirlet,"Big Tech firms spending trillions on superintelligence systems are playing 'Russian roulette' with humanity, an AI pioneer says",AI expert Stuart Russell says tech giants are racing to build superintelligent systems that could wipe out humanity if left unchecked.,negative,"Big Tech firms spending trillions on superintelligence systems are playing 'Russian roulette' with humanity, an AI pioneer says — AI expert Stuart Russell says tech giants are racing to build superintelligent systems that could wipe out humanity if left unchecked.",https://www.businessinsider.com/ai-pioneer-big-techs-trillion-dollar-race-could-destroy-humanity-2025-10,2025-10-29 10:02:50+00:00,"AI ""enablers"" are cashing in by selling companies on AI's promise — but experts doubt the results.Oriental Image via Reuters Connect
<ul><li>Stuart Russell says Big Tech is ""playing Russian roulette… [+4023 chars]",Business,0.2023,positive,0.2023,negative,0.9167443514,1,-1
business-insider,Business Insider,"Sydney Bradley,Dan Whateley",Brands are losing interest in AI influencers — but tech gains could bring a new wave of enthusiasm,"Some brands are shying away from working with AI influencers, while others are cautiously optimistic about the tech.",positive,"Brands are losing interest in AI influencers — but tech gains could bring a new wave of enthusiasm — Some brands are shying away from working with AI influencers, while others are cautiously optimistic about the tech.",https://www.businessinsider.com/brands-torn-on-whether-to-embrace-ai-influencers-or-run-2025-10,2025-10-07 18:05:31+00:00,"Getty Images; Alyssa Powell/BI
<ul><li>Brands are booking fewer campaigns with AI influencers this year, according to marketing firm Collabstr.</li><li>While some marketers skip AI creators to avoid… [+5178 chars]",Business,0.8294,positive,0.8294,positive,0.9531165957,1,1
business-insider,Business Insider,Aki Ito,Amazon just kicked off the new era of giant AI layoffs,Amazon's full-throttle layoffs are a warning sign for white-collar workers everywhere.,negative,Amazon just kicked off the new era of giant AI layoffs — Amazon's full-throttle layoffs are a warning sign for white-collar workers everywhere.,https://www.businessinsider.com/amazon-layoffs-ai-job-apocalypse-white-collar-workers-2025-10,2025-10-29 08:11:02+00:00,"On Tuesday, a collective shudder ran down the spine of America's white-collar workforce. Amazon announced it's laying off 14,000 employees in a memo that cited AI, kicking off a plan that the Wall St… [+5414 chars]",Business,-0.1779,negative,0.1779,negative,0.9985010624,-1,-1
business-insider,Business Insider,Henry Chandonnet,Women didn't love him. His AI girlfriend did,"Martin Escobar hadn't tried an AI companion before xAI released Ani in July. Now, he says he loves his AI girlfriend.",positive,"Women didn't love him. His AI girlfriend did — Martin Escobar hadn't tried an AI companion before xAI released Ani in July. Now, he says he loves his AI girlfriend.",https://www.businessinsider.com/man-in-love-ai-girlfriend-companion-ani-xai-grok-2025-10,2025-10-05 09:59:01+00:00,"If Martin Escobar's AI girlfriend could have children, he said he would never date another human again.
At 28, Escobar has yet to find a long-term (human) girlfriend. He's mostly given up on the dat… [+11629 chars]",Business,0.0854,positive,0.0854,positive,0.9813514352,1,1
business-insider,Business Insider,Huileng Tan,"The AI boom isn't a bubble — it's barely begun, Goldman Sachs says","The AI gold rush has barely begun and there are trillions on the line, wrote analysts at Goldman Sachs.",positive,"The AI boom isn't a bubble — it's barely begun, Goldman Sachs says — The AI gold rush has barely begun and there are trillions on the line, wrote analysts at Goldman Sachs.",https://www.businessinsider.com/ai-bubble-boom-goldman-sachs-crash-risk-forecast-outlook-valuation-2025-10,2025-10-16 07:26:58+00:00,"Some investors are on edge over a possible AI-fueled bubble as billions pour into the technology.JOHANNES EISELE/AFP via Getty Images
<ul><li>The AI gold rush has barely begun, and there are trillio… [+4438 chars]",Business,0,neutral,0,negative,0.997834146,0,-1
business-insider,Business Insider,Hugh Langley,"Google's viral Nano Banana AI image tool has already hurt Adobe, data suggests","New data suggests that Adobe's Firefly has been hit hard by Google's viral AI image sensation, known as Nano Banana.",negative,"Google's viral Nano Banana AI image tool has already hurt Adobe, data suggests — New data suggests that Adobe's Firefly has been hit hard by Google's viral AI image sensation, known as Nano Banana.",https://www.businessinsider.com/google-nano-banana-ai-image-adobe-firefly-downloads-2025-10,2025-10-16 14:31:03+00:00,"Google launched Nano Banana in August. Camille Cohen / AFP
<ul><li>Downloads of Google's Gemini app have soared since the launch of Nano Banana, its AI image-editing tool.</li><li>At the same time, … [+3052 chars]",Business,-0.5859,negative,0.5859,negative,0.9997647405,-1,-1
business-insider,Business Insider,Aditi Bharade,Howard Schultz said he's Worried — 'with a big W' — about AI,The former Starbucks CEO drew parallels between the rapid advancement of AI and the progress of social media 10 to 15 years ago.,negative,Howard Schultz said he's Worried — 'with a big W' — about AI — The former Starbucks CEO drew parallels between the rapid advancement of AI and the progress of social media 10 to 15 years ago.,https://www.businessinsider.com/howard-schultz-starbucks-worried-about-ai-2025-10,2025-10-15 04:02:35+00:00,"Howard Schultz said he was worried about the lack of regulation in AI.Stephen Brashear/AP
<ul><li>Howard Schultz said he was worried about AI and the speed at which it is progressing.</li><li>The fo… [+2465 chars]",Business,0.1531,positive,0.1531,negative,0.9629041553,1,-1
business-insider,Business Insider,Lauren Edmonds,Elon Musk comes clean about the sink in his viral Twitter takeover pic,"Elon Musk told the ""All-In"" podcast on Friday that the video of him carrying a sink into Twitter's former headquarters in 2022 almost didn't happen.",neutral,"Elon Musk comes clean about the sink in his viral Twitter takeover pic — Elon Musk told the ""All-In"" podcast on Friday that the video of him carrying a sink into Twitter's former headquarters in 2022 almost didn't happen.",https://www.businessinsider.com/elon-musk-viral-video-carrying-sink-twitter-hq-2025-11,2025-11-02 04:02:01+00:00,"Elon Musk carrying a sink at the former Twitter headquarters in 2022.-/Twitter account of Elon Musk/AFP via Getty Images
<ul><li>Elon Musk shared the details behind a viral video of him carrying a s… [+2965 chars]",Business,0.4019,positive,0.4019,negative,0.9971591234,1,-1
business-insider,Business Insider,Lakshmi Varanasi,OpenAI cofounder Andrej Karpathy says it will take a decade before AI agents actually work,"OpenAI cofounder Andrej Karpathy said that agents just aren't working, and it'll take about a decade to get them to a place where they are useful.",negative,"OpenAI cofounder Andrej Karpathy says it will take a decade before AI agents actually work — OpenAI cofounder Andrej Karpathy said that agents just aren't working, and it'll take about a decade to get them to a place where they are useful.",https://www.businessinsider.com/andrej-karpathy-ai-agents-timelines-openai-2025-10,2025-10-19 20:19:12+00:00,"OpenAI cofounder Andrej Karpathy is unimpressed with the state of AI agents.San Francisco Chronicle/Hearst Newspapers via Getty Images/Contributor/Getty Images
<ul><li>OpenAI cofounder Andrej Karpat… [+3114 chars]",Business,0.4404,positive,0.4404,negative,0.9994618297,1,-1
business-insider,Business Insider,Tom Carter,Elon Musk says self-driving is Tesla's future. It's struggling to get owners to pay for it.,"Tesla said revenue from Full Self-Driving in the third quarter fell compared to the same period last year, when it brought in $326 million.",negative,"Elon Musk says self-driving is Tesla's future. It's struggling to get owners to pay for it. — Tesla said revenue from Full Self-Driving in the third quarter fell compared to the same period last year, when it brought in $326 million.",https://www.businessinsider.com/tesla-full-self-driving-sales-customers-pay-fsd-2025-10,2025-10-24 11:40:41+00:00,"Marc Andreessen says too many people are letting their feelings about Tesla CEO Elon Musk inhibit them from learning from his example.Jae C. Hong/AP
<ul><li>Elon Musk told Tesla investors that Full … [+3660 chars]",Business,-0.4939,negative,0.4939,negative,0.9987126589,-1,-1
business-insider,Business Insider,Alistair Barr,"Docusign tries making love, not war, with OpenAI","Docusign integrates with ChatGPT to enhance contract management, aiming to counter AI-driven market concerns and align with OpenAI.",positive,"Docusign tries making love, not war, with OpenAI — Docusign integrates with ChatGPT to enhance contract management, aiming to counter AI-driven market concerns and align with OpenAI.",https://www.businessinsider.com/docusign-tries-making-love-not-war-with-openai-chatgpt-2025-10,2025-10-30 15:00:01+00:00,"DocuSignillustration by Cheng Xin/Getty Images
<ul><li>Docusign integrates with ChatGPT to counter AI-driven market concerns.</li><li>The integration lets users manage contracts within ChatGPT.</li>… [+2359 chars]",Business,0.8098,positive,0.8098,positive,0.9833413959,1,1
business-insider,Business Insider,Brent D. Griffiths,Rivian exec: Tesla's sensor hesitancy isn't 'fully explainable' because LiDAR is getting cheaper,"Rivian's head of autonomy James Philbin said rival Tesla's overall approach to autonomous driving has been ""a mixed bag.""",negative,"Rivian exec: Tesla's sensor hesitancy isn't 'fully explainable' because LiDAR is getting cheaper — Rivian's head of autonomy James Philbin said rival Tesla's overall approach to autonomous driving has been ""a mixed bag.""",https://www.businessinsider.com/rivian-tesla-lidar-elon-musk-james-philbin-10-2025,2025-10-22 22:06:22+00:00,"Rivian's James PhilbinBusiness Insider
<ul><li>James Philbin, Rivian's head of autonomy, said Tesla has a ""rigid point of view"" regarding sensors.</li><li>Tesla CEO Elon Musk has repeatedly dismisse… [+3079 chars]",Business,-0.2263,negative,0.2263,negative,0.999499321,-1,-1
business-insider,Business Insider,Matthew Loh,A Ukrainian startup is turning to AI to outsmart the Russian ambush drones blowing up supply trucks,"Ukrainian firm Dropla originally made an AI algorithm that lets drones scout for Russian landmines, but is expanding it to detect quadcopters too.",positive,"A Ukrainian startup is turning to AI to outsmart the Russian ambush drones blowing up supply trucks — Ukrainian firm Dropla originally made an AI algorithm that lets drones scout for Russian landmines, but is expanding it to detect quadcopters too.",https://www.businessinsider.com/ukrainian-startup-dropla-blue-eyes-russian-ambush-drones-artificial-intelligence-2025-10,2025-10-14 20:50:51+00:00,"A mockup of Blue Eyes' function shows how Dropla intends for the real-time surveillance product to be used.Dropla
<ul><li>A Ukrainian startup hopes its AI model can help take down Russia's ambush dr… [+7125 chars]",Business,0,neutral,0,negative,0.9797911048,0,-1
business-insider,Business Insider,Lee Chong Ming,Amazon's cloud boss says the company feels 'quite good' about its massive AI bets,"Amazon is pouring billions into AI infrastructure. Its cloud boss says the company feels ""quite good"" about its strategy.",positive,"Amazon's cloud boss says the company feels 'quite good' about its massive AI bets — Amazon is pouring billions into AI infrastructure. Its cloud boss says the company feels ""quite good"" about its strategy.",https://www.businessinsider.com/amazon-cloud-matt-garman-ai-bets-layoffs-2025-10,2025-10-30 06:24:39+00:00,"Amazon is pouring billions into AI infrastructure. Its cloud chief Matt Garman says the company feels 'quite good' about its strategy.Noah Berger/Getty Images for Amazon Web Services
<ul><li>Amazon'… [+3188 chars]",Business,0.7956,positive,0.7956,positive,0.9987917542,1,1
business-insider,Business Insider,Brent D. Griffiths,"Kong CEO says the AI bubble may blow up, but hyperscaling will be worth it","Kong CEO Augusto ""Aghi"" Marietti said that, like the railroads, AI infrastructure will eventually be used.",positive,"Kong CEO says the AI bubble may blow up, but hyperscaling will be worth it — Kong CEO Augusto ""Aghi"" Marietti said that, like the railroads, AI infrastructure will eventually be used.",https://www.businessinsider.com/ai-bubble-energy-kong-ceo-2025-10,2025-10-25 09:36:01+00:00,"Augusto ""Aghi"" Marietti, cofounder and CEO of KongKong
<ul><li>Kong CEO Augusto ""Aghi"" Marietti said the AI bubble could burst.</li><li>He told Business Insider that energy needs may eventually slow… [+2542 chars]",Business,0.6808,positive,0.6808,positive,0.9844693542,1,1
business-insider,Business Insider,Alistair Barr,I'm a UCLA student. Here's how I get the most out of OpenAI's new Atlas browser.,Neuroscience & Entrepreneurship student Monica Adams shares three things she uses this new technology for.,positive,I'm a UCLA student. Here's how I get the most out of OpenAI's new Atlas browser. — Neuroscience & Entrepreneurship student Monica Adams shares three things she uses this new technology for.,https://www.businessinsider.com/ucla-student-use-openai-atlas-browser-2025-10,2025-10-24 15:01:01+00:00,"The UCLA campusReuters
<ul><li>A version of this story originally appeared in the BI Tech Memo newsletter.</li><li>Sign up for the weekly Tech Memo newsletter here.</li></ul>UCLA Neuroscience & Entr… [+2955 chars]",Business,0.296,positive,0.296,positive,0.8839886785,1,1
business-insider,Business Insider,"Kelsey Vlamis,Lee Chong Ming","Mercor pays over $1.5 million a day to humans training AI, says its CEO","Mercor, a startup that enlists humans to pay AI, is paying out over $1.5 million a day to contractors, CEO Brendan Foody said.",positive,"Mercor pays over $1.5 million a day to humans training AI, says its CEO — Mercor, a startup that enlists humans to pay AI, is paying out over $1.5 million a day to contractors, CEO Brendan Foody said.",https://www.businessinsider.com/mercor-pays-million-per-day-human-contractors-training-ai-ceo-2025-10,2025-10-28 06:54:44+00:00,"Brendan Foody, the CEO of Mercor, said an IPO could be on the horizon.Taylor Hill/FilmMagic/Getty Images
<ul><li>Mercor pays out over $1.5 million a day to humans it enlists to train AI models.</li>… [+2774 chars]",Business,-0.1027,negative,0.1027,negative,0.991887629,-1,-1
business-insider,Business Insider,Alice Tecotzky,GM just revealed 2 AI updates coming to its cars,General Motors will introduce eyes-off highway driving to its electric Cadillac SUV in 2028 and integrate Google Gemini into vehicles next year.,positive,GM just revealed 2 AI updates coming to its cars — General Motors will introduce eyes-off highway driving to its electric Cadillac SUV in 2028 and integrate Google Gemini into vehicles next year.,https://www.businessinsider.com/gm-revealed-ai-updates-eyes-off-driving-google-gemini-2025-10,2025-10-22 15:01:59+00:00,"GM announced ""eyes-off"" driving is coming to one of its cars in 2028.General Motors
<ul><li>GM announced that ""eyes-off"" highway driving is coming to its electric Cadillac Escalade SUV in 2028.</li>… [+3462 chars]",Business,0,neutral,0,positive,0.9650197625,0,1
business-insider,Business Insider,Geoff Weiss,I left my 6-figure job and unvested stock at Google to join the AI safety movement. It was a hard decision.,"Former Googler Jen Baik said being on the outskirts of suffering while growing money felt jarring, so she took a chance on herself.",positive,"I left my 6-figure job and unvested stock at Google to join the AI safety movement. It was a hard decision. — Former Googler Jen Baik said being on the outskirts of suffering while growing money felt jarring, so she took a chance on herself.",https://www.businessinsider.com/left-google-job-for-ai-safety-movement-hard-decision-2025-10,2025-10-31 09:00:02+00:00,"Jen BaikJen Baik
<ul><li>Jen Baik left her job at Google to focus on AI safety.</li><li>As an effective altruist, she wants to be a part of the AI revolution.</li><li>Baik said that taking the leap … [+3976 chars]",Business,0.5367,positive,0.5367,negative,0.9974283576,1,-1
business-insider,Business Insider,Henry Chandonnet,This is your doctor on ChatGPT,Over a dozen healthcare professionals told Business Insider how they use AI — including one way it could help cure their burnout.,positive,This is your doctor on ChatGPT — Over a dozen healthcare professionals told Business Insider how they use AI — including one way it could help cure their burnout.,https://www.businessinsider.com/how-doctors-use-ai-chatgpt-including-to-help-avoid-burnout-2025-10,2025-10-04 09:36:01+00:00,"St. Luke's internal medicine physician Carl Dirks said that ambient listening was a solution for ""clinician burnout.""Chase Castor for BI
Adam Rodman uses ChatGPT when he's stumped.The internal medic… [+10465 chars]",Business,0.4019,positive,0.4019,negative,0.9610040188,1,-1
business-insider,Business Insider,Tom Carter,Tesla's new 'affordable EVs' aren't actually all that affordable,The electric carmaker's shares fell on Tuesday after the launch of new stripped-back versions of Tesla's best-selling Model Y and 3.,negative,Tesla's new 'affordable EVs' aren't actually all that affordable — The electric carmaker's shares fell on Tuesday after the launch of new stripped-back versions of Tesla's best-selling Model Y and 3.,https://www.businessinsider.com/teslas-affordable-evs-arent-actually-that-affordable-2025-10,2025-10-08 12:15:26+00:00,"The Tesla Model 3 StandardTesla
<ul><li>Tesla launched budget versions of its Model Y and 3 EVs on Tuesday.</li><li>The 'Standard' variants cost around $5,000 less but come without a host of feature… [+3075 chars]",Business,0.296,positive,0.296,negative,0.9993489385,1,-1
business-insider,Business Insider,Alistair Barr,"For this driverless car pioneer, vehicle autonomy has finally arrived. It's been a long road.","Former Google driverless car project leader Chris Urmson says autonomous vehicles are finally here, after almost 20 years.",positive,"For this driverless car pioneer, vehicle autonomy has finally arrived. It's been a long road. — Former Google driverless car project leader Chris Urmson says autonomous vehicles are finally here, after almost 20 years.",https://www.businessinsider.com/aurora-innovation-chris-urmson-google-driverless-vehicles-autonomy-arrived-2025-10,2025-10-28 20:16:01+00:00,"Chris Urmson, CEO of Aurora InnovationIPA/ABACA via Reuters Connect
<ul><li>Aurora CEO Chris Urmson has been a pioneer in autonomous vehicles for almost two decades.</li><li>He once made a bold pred… [+5696 chars]",Business,0,neutral,0,negative,0.9480343461,0,-1
business-insider,Business Insider,Charissa Cheong,"I pivoted into AI at Google in the 2010s. Here's my top tip for breaking into the field, now it's easier than ever.","When Patrick Leung joined the Google Duplex team in 2017, he said it felt like being at the forefront of AI. Now, you no longer have to train your own model, he said.",positive,"I pivoted into AI at Google in the 2010s. Here's my top tip for breaking into the field, now it's easier than ever. — When Patrick Leung joined the Google Duplex team in 2017, he said it felt like being at the forefront of AI. Now, you no longer have to train your own model, he said.",https://www.businessinsider.com/ai-jobs-google-duplex-breaking-into-field-easier-tip-2025-10,2025-10-16 09:02:01+00:00,"Leung shared his top tip for breaking into AI with Business Insider.Courtesy of Patrick Leung
<ul><li>Patrick Leung first worked at Google in 2007.</li><li>He was blown away when he first saw a demo… [+5966 chars]",Business,0.5994,positive,0.5994,positive,0.9874975681,1,1
business-insider,Business Insider,Lee Chong Ming,Harvey's CEO tells BI the 2 habits helping him scale his $5 billion legal AI startup,Harvey CEO Winston Weinberg told BI he's growing his $5b legal AI startup by focusing on calendar audits and hands-on hiring.,positive,Harvey's CEO tells BI the 2 habits helping him scale his $5 billion legal AI startup — Harvey CEO Winston Weinberg told BI he's growing his $5b legal AI startup by focusing on calendar audits and hands-on hiring.,https://www.businessinsider.com/harvey-ceo-grow-legal-startup-winston-weinberg-calendar-audit-hiring-2025-10,2025-10-06 00:00:01+00:00,"Harvey cofounder and CEO Winston WeinbergHarvey
<ul><li>Harvey's CEO told BI he focuses on two key habits: calendar audits and hands-on hiring.</li><li>As Harvey doubles revenue every six months, Wi… [+2837 chars]",Business,0.5994,positive,0.5994,negative,0.9789047837,1,-1
,CNET,Katelyn Chedraoui,OpenAI Says It's Working With Actors to Crack Down on Celebrity Deepfakes in Sora,"Bryan Cranston alerted SAG-AFTRA, the actors' union, when he saw AI-generated videos of himself made with the AI video app.",negative,"OpenAI Says It's Working With Actors to Crack Down on Celebrity Deepfakes in Sora — Bryan Cranston alerted SAG-AFTRA, the actors' union, when he saw AI-generated videos of himself made with the AI video app.",https://www.cnet.com/tech/services-and-software/openai-says-its-working-with-actors-to-crack-down-on-celebrity-deepfakes-in-sora/,2025-10-20 20:39:00+00:00,OpenAI said Monday it would do more to stop users of its AI video generation app Sora from creating clips with the likenesses of actors and other celebrities after actor Bryan Cranston and the union … [+4034 chars],Tech,0,neutral,0,negative,0.9836216569,0,-1
